phrase,count,ef_code,ef_text,ss_code,ss_text,pr_code,pr_text
ifcbeam vig_est_ace_w14x30 vig_est_ace_w14x30 | structural assembly connection | structural framing system,53,ef_20_50_01,abutment,ss_20_20_75,structural beam system,pr_20_31_35_62,pari
ifcbeam vig_est_ace_w410x85 vig_est_ace_w410x85 | structural assembly connection | structural framing system,2,ef_20_50_01,abutment,ss_20_20_75,structural beam system,pr_20_31_35_62,pari
ifcbeam plate plate | structural assembly connection | structural framing system,28,ef_20_50_01,abutment,ss_20_20_75,structural beam system,pr_20_29_03_82,plate
ifcbeam trb_est_hoa_80x30cm trb_est_hoa_80x30cm | structural assembly connection | structural framing system,2,ef_20_50_01,abutment,ss_20_20_75,structural beam system,pr_20_31_02_60,size
ifcbeam trb_est_hoa_30x30cm trb_est_hoa_30x30cm | structural assembly connection | structural framing system,182,ef_20_50_01,abutment,ss_20_20_75,structural beam system,pr_20_31_02_60,size
ifcbeam seat seat | structural assembly connection | structural framing system,1,ef_20_50_01,abutment,ss_20_20_75,structural beam system,pr_20_96_71_73,reinforcement chair
ifcbeam trb_est_hoa_50x30cm trb_est_hoa_50x30cm | structural assembly connection | structural framing system,5,ef_20_50_01,abutment,ss_20_20_75,structural beam system,pr_20_31_35_62,pari
"ifcbeam vig_est_ace_w250x38,5 vig_est_ace_w250x38,5 | structural assembly connection | structural framing system",2,ef_20_50_01,abutment,ss_20_20_75,structural beam system,pr_20_31_35_62,pari
ifccolumn col_est_hoa_30x30cm col_est_hoa_30x30cm | structural assembly connection | structural framing system,55,ef_20_05_30,foundation,ss_20_30_75,structural column system,pr_20_31_02_60,parchment size
ifccolumn col_est_hoa_d30cm col_est_hoa_d30cm | structural assembly connection | structural framing system,100,ef_20_50_01,abutment,ss_20_30_75,structural column system,pr_20_76_70_22,derailment containment
ifccolumn col_est_ace_w410x60 col_est_ace_w410x60 | structural assembly connection | structural framing system,16,ef_20_50_01,abutment,ss_20_30_75,structural column system,pr_20_31_35_62,pari
ifccolumn plate plate | structural assembly connection | structural framing system,7,ef_20_50_01,abutment,ss_20_30_75,structural column system,pr_20_29_03_10,carbon steel anchor plate
ifcfooting strip footing strip footing | structural assembly connection | substructure system | foundation,3,ef_20_50_01,abutment,ss_20_05_15,concrete foundation system,pr_20_85_13_65,concrete pocket foundations
ifcfooting cim_est_hoa_c2 cim_est_hoa_c2 | structural assembly connection | substructure system | foundation,2,ef_20_50_01,abutment,ss_20_05_15,concrete foundation system,pr_20_31_35_62,plaster of paris
ifcfooting cim_est_hoa_c1 cim_est_hoa_c1 | structural assembly connection | substructure system | foundation,5,ef_20_50_01,abutment,ss_20_05_15,concrete foundation system,pr_20_76_70_22,containment
ifcplate plate plate | structural assembly connection | steel structural connection system | connection,215,ef_65_80_15,controlled environment,ss_70_30_50_50,medium-voltage site connection system,pr_35_90_15_89,thermal break connection plate
ifcplate stiffener stiffener | structural assembly connection | building system | element,56,ef_65_80_15,controlled environment,ss_85_30,general proces system,pr_20_93_92_96,stiffener
ifcplate base base | structural assembly connection | building system | element,15,ef_65_80_15,controlled environment,ss_85_30,general proces system,pr_20_76_64_01,base
ifcplate cap_plate cap_plate | structural assembly connection | steel structural connection system | connection,9,ef_65_80_15,controlled environment,ss_70_30_50_50,medium-voltage site connection system,pr_35_90_15_89,thermal break connection plate
ifcslab slab slab | structural assembly connection | floor system,2,ef_20_05_30,foundations,ss_20_50_25_80,solid steel slab system,pr_20_29_10_19,slab
ifcslab pis_est_hoa_25cm pis_est_hoa_25cm | structural assembly connection | floor system,2,ef_20_05_30,foundations,ss_20_50_25_80,solid steel slab system,pr_20_85_28_30,flood barrier
ifcslab pis_est_hoa_20cm pis_est_hoa_20cm | structural assembly connection | floor system,9,ef_20_05_30,foundations,ss_20_50_25_80,solid steel slab system,pr_20_31_02_60,parchment size
ifcwall muh_est_hoa_30cm muh_est_hoa_30cm | structural assembly connection | wall system,84,ef_20_50_01,abutment,ss_20_50_30_80,spandrel arch wall systems,pr_20_76_70_22,derailment containment
ifcwall muh_est_hoa_40cm muh_est_hoa_40cm | structural assembly connection | wall system,1,ef_20_50_01,abutment,ss_20_50_30_80,spandrel arch wall systems,pr_20_76_70_22,derailment containment
ifcwall wall wall | structural assembly connection | wall system,11,ef_20_50_01,abutment,ss_20_50_30_80,spandrel arch wall systems,pr_20_93_96,walling unit
ifcwall muh_est_hoa_30cm | wall system,2,ef_20_50_01,abutment,ss_20_50_30_80,spandrel arch wall systems,pr_20_76_70_22,derailment containment
ifcelementassembly col_est_hoa_30x30cm unknown n-01_subsuelo | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly unknown | structural assembly connection | building system,205,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly slab unknown n-01_subsuelo | building system,1,ef_20_50_01,abutment,ss_85_30,general process systems,pr_20_29_10_19,slab
ifcelementassembly muh_est_hoa_30cm unknown n-01_subsuelo | building system,8,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly strip footing unknown n-01_subsuelo | building system,3,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_29_03_47,lifting anchor
ifcelementassembly cim_est_hoa_c2 unknown n-01_subsuelo | building system,2,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly cim_est_hoa_c1 unknown n-01_subsuelo | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_76_70_22,derailment containment
ifcelementassembly muh_est_hoa_40cm unknown n-01_subsuelo | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly col_est_hoa_d30cm unknown n00_planta-baja | building system,10,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly muh_est_hoa_30cm unknown n00_planta-baja | building system,6,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly pis_est_hoa_25cm unknown n00_planta-baja | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly col_est_hoa_30x30cm unknown n00_planta-baja | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly wall unknown n00_planta-baja | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_59_99,wall
ifcelementassembly col_est_ace_w410x60 unknown n00_planta-baja | building system,2,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_36_59,opening hardware
ifcelementassembly vig_est_ace_w14x30 unknown n00_planta-baja | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_60_70_48_27,electrical cut-out
ifcelementassembly muh_est_hoa_30cm unknown n01_primer-piso | building system,7,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly col_est_hoa_d30cm unknown n01_primer-piso | building system,10,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly pis_est_hoa_25cm unknown n01_primer-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly col_est_ace_w410x60 unknown n01_primer-piso | building system,14,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_36_59,opening hardware
ifcelementassembly vig_est_ace_w410x85 unknown n01_primer-piso | building system,2,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_72_27,electrical protective device
ifcelementassembly vig_est_ace_w14x30 unknown n01_primer-piso | building system,25,ef_20_50_01,abutment,ss_85_30,general proces system,pr_60_70_48_27,electrical cut-out
ifcelementassembly trb_est_hoa_80x30cm unknown n01_primer-piso | building system,2,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly trb_est_hoa_30x30cm unknown n01_primer-piso | building system,16,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly col_est_hoa_30x30cm unknown n01_primer-piso | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly wall unknown n01_primer-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_59_99,wall
ifcelementassembly col_est_hoa_d30cm unknown n02_segundo-piso | building system,10,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly pis_est_hoa_20cm unknown n02_segundo-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly trb_est_hoa_30x30cm unknown n02_segundo-piso | building system,16,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly trb_est_hoa_50x30cm unknown n02_segundo-piso | building system,3,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly vig_est_ace_w14x30 unknown n02_segundo-piso | building system,27,ef_20_50_01,abutment,ss_85_30,general proces system,pr_60_70_48_27,electrical cut-out
"ifcelementassembly vig_est_ace_w250x38,5 unknown n02_segundo-piso | building system",2,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly col_est_hoa_30x30cm unknown n02_segundo-piso | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly wall unknown n02_segundo-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_59_99,wall
ifcelementassembly muh_est_hoa_30cm unknown n02_segundo-piso | building system,7,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly pis_est_hoa_20cm unknown n03_tercer-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly col_est_hoa_d30cm unknown n03_tercer-piso | building system,10,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly trb_est_hoa_30x30cm unknown n03_tercer-piso | building system,17,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly trb_est_hoa_50x30cm unknown n03_tercer-piso | building system,2,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly col_est_hoa_30x30cm unknown n03_tercer-piso | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly wall unknown n03_tercer-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_59_99,wall
ifcelementassembly muh_est_hoa_30cm unknown n03_tercer-piso | building system,7,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly pis_est_hoa_20cm unknown n04_cuarto-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly col_est_hoa_d30cm unknown n04_cuarto-piso | building system,10,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly trb_est_hoa_30x30cm unknown n04_cuarto-piso | building system,19,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly col_est_hoa_30x30cm unknown n04_cuarto-piso | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly wall unknown n04_cuarto-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_59_99,wall
ifcelementassembly muh_est_hoa_30cm unknown n04_cuarto-piso | building system,7,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly pis_est_hoa_20cm unknown n05_quinto-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly col_est_hoa_d30cm unknown n05_quinto-piso | building system,10,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly trb_est_hoa_30x30cm unknown n05_quinto-piso | building system,19,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly col_est_hoa_30x30cm unknown n05_quinto-piso | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly wall unknown n05_quinto-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_59_99,wall
ifcelementassembly muh_est_hoa_30cm unknown n05_quinto-piso | building system,7,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly pis_est_hoa_20cm unknown n06_sexto-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly col_est_hoa_d30cm unknown n06_sexto-piso | building system,10,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly trb_est_hoa_30x30cm unknown n06_sexto-piso | building system,19,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly col_est_hoa_30x30cm unknown n06_sexto-piso | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly wall unknown n06_sexto-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_59_99,wall
ifcelementassembly muh_est_hoa_30cm unknown n06_sexto-piso | building system,8,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly rebar unknown | structural assembly connection | building system,4,ef_20_50_01,abutment,ss_85_30,general proces system,pr_15_31_04_15,retarders
ifcelementassembly pis_est_hoa_20cm unknown n07_septimo-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly col_est_hoa_d30cm unknown n07_septimo-piso | building system,10,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly trb_est_hoa_30x30cm unknown n07_septimo-piso | building system,19,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly col_est_hoa_30x30cm unknown n07_septimo-piso | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly wall unknown n07_septimo-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_59_99,wall
ifcelementassembly muh_est_hoa_30cm unknown n07_septimo-piso | building system,7,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly pis_est_hoa_20cm unknown n08_octavo-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly col_est_hoa_d30cm unknown n08_octavo-piso | building system,10,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly trb_est_hoa_30x30cm unknown n08_octavo-piso | building system,19,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly col_est_hoa_30x30cm unknown n08_octavo-piso | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly wall unknown n08_octavo-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_59_99,wall
ifcelementassembly muh_est_hoa_30cm unknown n08_octavo-piso | building system,7,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly pis_est_hoa_20cm unknown n09_noveno-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly col_est_hoa_d30cm unknown n09_noveno-piso | building system,10,ef_20_50_01,abutment,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcelementassembly trb_est_hoa_30x30cm unknown n09_noveno-piso | building system,19,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly col_est_hoa_30x30cm unknown n09_noveno-piso | building system,5,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly wall unknown n09_noveno-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_59_99,wall
ifcelementassembly muh_est_hoa_30cm unknown n09_noveno-piso | building system,6,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly pis_est_hoa_20cm unknown n10_decimo-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly trb_est_hoa_30x30cm unknown n10_decimo-piso | building system,19,ef_20_50_01,abutment,ss_85_30,general proces system,pr_35_31_85_36,gilding size
ifcelementassembly wall unknown n10_decimo-piso | building system,1,ef_20_50_01,abutment,ss_85_30,general proces system,pr_30_59_99,wall
ifcelementassembly muh_est_hoa_30cm unknown n10_decimo-piso | building system,7,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcelementassembly slab unknown n11_cubierta | building system,1,ef_20_50_01,abutment,ss_85_30,general process systems,pr_20_29_10_19,slab
ifcelementassembly muh_est_hoa_30cm unknown unknown | building system,2,ef_20_50_01,abutment,ss_85_30,general proces system,pr_65_54_93_87,test point
ifcreinforcingbar tie tie | structural assembly connection | structural reinforcement system | reinforcement,391,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_85_84_46,lateral restraint tie
ifcreinforcingbar vrt vrt | structural assembly connection | structural reinforcement system | reinforcement,1060,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_31_35_81,fume
ifcreinforcingbar rebar rebar | structural assembly connection | structural reinforcement system | reinforcement,801,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_76_71_80,stretcher bar
ifcreinforcingbar trim u-bar trim u-bar | structural assembly connection | structural reinforcement system | reinforcement,172,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_76_71_80,stretcher bar
ifcreinforcingbar trim edge trim edge | structural assembly connection | structural reinforcement system | reinforcement,106,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_76_71_15,common crossing
ifcreinforcingbar cnr diag cnr diag | structural assembly connection | structural reinforcement system | reinforcement,126,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_85_18_10,bridge diaphragms
ifcreinforcingbar long tul long tul | structural assembly connection | structural reinforcement system | reinforcement,5,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_76_70_22,derailment containment
ifcreinforcingbar long tll long tll | structural assembly connection | structural reinforcement system | reinforcement,5,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_85_28_16,concrete tetrapod
ifcreinforcingbar transv bul transv bul | structural assembly connection | structural reinforcement system | reinforcement,5,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_76_08_71,retracting metal bollard
ifcreinforcingbar transv bll transv bll | structural assembly connection | structural reinforcement system | reinforcement,5,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_76_08_62,plastics bollards
ifcreinforcingbar edge trim edge trim | structural assembly connection | structural reinforcement system | reinforcement,16,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_29_70_70,rail clip
ifcreinforcingbar stirr stirr | structural assembly connection | structural reinforcement system | reinforcement,211,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_31_53_76,self-hardening slurry mixes
ifcreinforcingbar longit bott longit bott | structural assembly connection | structural reinforcement system | reinforcement,217,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_31_03_15,agent
ifcreinforcingbar longit top longit top | structural assembly connection | structural reinforcement system | reinforcement,215,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_76_64_21,concrete post top
ifcreinforcingmesh mesh mesh | structural assembly connection | structural reinforcement system | reinforcement,459,ef_20_50_01,abutment,ss_20_50_10,abutment system,pr_20_65_60_47,roofs
ifcopeningelement | building system,32,ef_85_50,mechanical power,ss_85_30,general proces system,pr_20_31_35_62,pari
ifcopeningelement cut part | building system,142,ef_85_50,mechanical power,ss_85_30,general proces system,pr_40_50_05_42,installation piece
ifcopeningelement strip footing | building system,1,ef_85_50,mechanical power,ss_85_30,general proces system,pr_20_29_03_47,lifting anchor
ifcopeningelement notch | building system,19,ef_85_50,mechanical power,ss_85_30,general proces system,pr_20_29_87_87,thatching hook
ifcopeningelement plate | steel structural connection system | connection,576,ef_85_50,mechanical power,ss_70_30_50_50,medium-voltage site connection system,pr_35_90_15_89,thermal break connection plate
